ts,execBuilt,execItems,execPass,watchItems,topNetUsd,topCandidateId
2026-01-13T12:29:25,1,1,1,34,104.98463595807,"42161|0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff|0x3d7f861e7fabe268c074de3ff1dd0b3a2eb3d70e|0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:32:51,0,0,0,35,453.279428221786,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:36:39,0,0,0,35,453.280383806154,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:39:52,0,0,0,35,453.280403420423,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:43:06,0,0,0,35,453.281150399255,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:46:36,1,1,1,34,104.983812229199,"42161|0x551dbcdcceaf9322986e0cddde993d49840522a9532dc441359acd98af8badff|0x3d7f861e7fabe268c074de3ff1dd0b3a2eb3d70e|0xfdd22ce6d1f66bc0ec89b20bf16ccb6670f55a5a|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:50:03,0,0,0,35,453.281133672852,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:53:47,0,0,0,35,453.276935559619,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T12:57:21,0,0,0,35,453.280631050998,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
2026-01-13T13:00:26,0,0,0,35,453.279180475799,"42161|0x7717f1e04510390518811b3133ea47c298094ddd1d806ed8f8867d88c727bad7|0x9cbf099ff424979439dfba03f00b5961784c06ce|0x1bf1311fcf914a69dd5805c9b06b72f80539cb3f|0xaf88d065e77c8cc2239327c5edb3a432268e5831"
